num,code,name,typecode,type
453,194480,데브시스터즈,105802,소프트웨어 개발 및 공급업
454,263800,데이타솔루션,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
455,199150,데이터스트림즈,105802,소프트웨어 개발 및 공급업
456,139050,데일리블록체인,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
457,017680,데코앤이,31401,봉제의복 제조업
458,206560,덱스터,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
459,145720,덴티움,32701,의료용 기기 제조업
460,067990,도이치모터스,74501,자동차 판매업
461,002150,도화엔지니어링,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
462,006620,동구바이오제약,32102,의약품 제조업
463,100130,동국S&C,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
464,005160,동국산업,32401,1차 철강 제조업
465,001620,동국실업,33003,자동차 신품 부품 제조업
466,075970,동국알앤에스,32309,기타 비금속 광물제품 제조업
467,001230,동국제강,32401,1차 철강 제조업
468,086450,동국제약,32102,의약품 제조업
469,023450,동남합성,32001,기초 화학물질 제조업
471,099410,동방선기,33101,선박 및 보트 건조업
472,007590,동방아그로,32003,"비료, 농약 및 살균, 살충제 제조업"
473,005960,동부건설,64102,토목 건설업
474,281740,동부스팩5호,116601,금융 지원 서비스업
475,016380,동부제철,32401,1차 철강 제조업
476,083370,동북아12호선박투자,147601,운송장비 임대업
477,083380,동북아13호선박투자,147601,운송장비 임대업
478,026960,동서,74603,음·식료품 및 담배 도매업
479,002210,동성제약,32102,의약품 제조업
480,102260,동성코퍼레이션,137105,회사 본부 및 경영 컨설팅 서비스업
481,033500,동성화인텍,32001,기초 화학물질 제조업
482,005190,동성화학,32001,기초 화학물질 제조업
483,025950,동신건설,64102,토목 건설업
484,000640,동아쏘시오홀딩스,116409,기타 금융업
485,170900,동아에스티,32102,의약품 제조업
486,088130,동아엘텍,32902,특수 목적용 기계 제조업
487,028100,동아지질,64201,기반조성 및 시설물 축조관련 전문공사업
488,282690,동아타이어,32201,고무제품 제조업
489,041930,동아화성,32201,고무제품 제조업
490,001520,동양,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
491,084670,동양고속,84902,육상 여객 운송업
492,030790,동양네트웍스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
493,002900,동양물산기업,32902,특수 목적용 기계 제조업
494,082640,동양생명,116501,보험업
495,060380,동양에스텍,32401,1차 철강 제조업
496,079960,동양이엔피,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
497,008970,동양철관,32401,1차 철강 제조업
498,228340,동양파일,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
499,092780,동양피스톤,33001,자동차용 엔진 및 자동차 제조업
500,104460,동양피엔에프,32901,일반 목적용 기계 제조업
501,088910,동우팜투테이블,31001,"도축, 육류 가공 및 저장 처리업"
502,094170,동운아나텍,32601,반도체 제조업
503,049770,동원F&B,31007,기타 식품 제조업
504,013120,동원개발,64101,건물 건설업
505,018500,동원금속,33003,자동차 신품 부품 제조업
506,006040,동원산업,10301,어로 어업
507,030720,동원수산,10301,어로 어업
508,014820,동원시스템즈,32202,플라스틱제품 제조업
509,163560,동일고무벨트,32201,고무제품 제조업
510,109860,동일금속,32403,금속 주조업
511,032960,동일기연,32602,전자부품 제조업
512,001530,동일방직,31301,방적 및 가공사 제조업
513,004890,동일산업,32401,1차 철강 제조업
514,002690,동일제강,32401,1차 철강 제조업
515,023790,동일철강,32401,1차 철강 제조업
516,005290,동진쎄미켐,32001,기초 화학물질 제조업
517,025900,동화기업,31602,나무제품 제조업
518,000020,동화약품,32102,의약품 제조업
519,000150,두산,137105,회사 본부 및 경영 컨설팅 서비스업
520,011160,두산건설,64101,건물 건설업
