keyword,company,score
반도체,디엔에프,1
아웃도어,영원무역,1
아웃도어,영원무역홀딩스,1
아웃도어,LS네트웍스,1
아웃도어,태평양물산,1
아웃도어,휠라코리아,1
아웃도어,LF,1
아웃도어,코오롱인더,1
사료,팜스코,1
사료,선진,1
사료,팜스토리,1
사료,한일사료,1
사료,이지바이오,1
사료,우성사료,1
사료,CJ제일제당,1
사료,고려산업,1
사료,케이씨피드,1
사료,대한제당,1
애니메이션,레드로버,1
애니메이션,오로라,1
애니메이션,대원미디어,1
애니메이션,손오공,1
보안,안랩,1
보안,윈스,1
보안,이스트소프트,1
보안,이니텍,1
온라인,안랩,1
온라인,윈스,1
온라인,이스트소프트,1
온라인,이니텍,1
사이버보안,안랩,1
사이버보안,윈스,1
사이버보안,이스트소프트,1
사이버보안,이니텍,1
창투,KTB투자증권,1
창투,한국금융지주,1
창투,SBI인베스트먼트,1
창투,디피씨,1
창투,에이티넘인베스트,1
의복,영원무역,1
의복,신원,1
의복,신성통상,1
의복,한세실업,1
의복,태평양물산,1
그린카,한국단자,1
그린카,삼화콘덴서,1
그린카,우리산업홀딩스,1
그린카,한라홀딩스,1
그린카,LG화학,1
그린카,삼성SDI,1
그린카,S&T모티브,1
그린카,현대모비스,1
그린카,LS산전,1
그린카,기아차,1
그린카,인지컨트롤스,1
그린카,현대차,1
그린카,한온시스템,1

하이브리드카,한국단자,1
하이브리드카,삼화콘덴서,1
하이브리드카,우리산업홀딩스,1
하이브리드카,한라홀딩스,1
하이브리드카,LG화학,1
하이브리드카,삼성SDI,1
하이브리드카,S&T모티브,1
하이브리드카,현대모비스,1
하이브리드카,LS산전,1
하이브리드카,기아차,1
하이브리드카,인지컨트롤스,1
하이브리드카,현대차,1
하이브리드카,한온시스템,1

전기차,한국단자,1
전기차,삼화콘덴서,1
전기차,우리산업홀딩스,1
전기차,한라홀딩스,1
전기차,LG화학,1
전기차,삼성SDI,1
전기차,S&T모티브,1
전기차,현대모비스,1
전기차,LS산전,1
전기차,기아차,1
전기차,인지컨트롤스,1
전기차,현대차,1
전기차,한온시스템,1

설탕,대한제분,1
설탕,삼양사,1
설탕,롯데푸드,1
설탕,CJ제일제당,1
설탕,대한제당,1
설탕,한탑,1
설탕,사조동아원,1
밀가루,대한제분,1
밀가루,삼양사,1
밀가루,롯데푸드,1
밀가루,CJ제일제당,1
밀가루,대한제당,1
밀가루,한탑,1
밀가루,사조동아원,1

건설,삼성엔지니어링,1
건설,대우건설,1
건설,대림산업,1
건설,현대건설,1
건설,GS건설,1
해외건설,삼성엔지니어링,1
해외건설,대우건설,1
해외건설,대림산업,1
해외건설,현대건설,1
해외건설,GS건설,1
의료기기,오스템임플란트,1
의료기기,디오,1
의료기기,신흥,1
의료기기,뷰웍스,1
의료기기,바텍,1
치아,오스템임플란트,1
치아,디오,1
치아,신흥,1
치아,뷰웍스,1
치아,바텍,1
소프트웨어,팅크웨어,0.5
소프트웨어,한컴MDS,0.5
소프트웨어,파인디지털,0.5
소프트웨어,유비벨록스,0.5
자동차,팅크웨어,0.5
자동차,한컴MDS,0.5
자동차,파인디지털,0.5
자동차,유비벨록스,0.5
스마트카,팅크웨어,1
스마트카,한컴MDS,1
스마트카,파인디지털,1
스마트카,유비벨록스,1
증권,메리츠종금증권,1
증권,신영증권,1
증권,KTB투자증권,1
증권,유화증권,1
증권,유진투자증권,1
증권,현대차증권,1
증권,교보증권,1
증권,삼성증권,1
증권,유안타증권,1
증권,한양증권,1
증권,SK증권,1
증권,DB금융투자,1
증권,대신증권,1
증권,한화투자증권,1
증권,부국증권,1
증권,NH투자증권,1
증권,한국금융지주,1
증권,미래에셋대우,1
증권,키움증권,1
증권,이베스트투자증권,1
자동차,한라홀딩스,0.5
자동차,현대모비스,0.5
반도체,한라홀딩스,1
반도체,현대모비스,1
LPG,SK가스,1
LPG,E1,1
게임,드래곤플라이,1
게임,바른손이앤에이,1
게임,엠게임,1
게임,조이맥스,1
게임,이스트소프트,1
게임,넥슨지티,1
게임,이에스에이,1
게임,와이디온라인,1
게임,웹젠,1
게임,엔씨소프트,1
게임,조이시티,1
게임,한빛소프트,1
게임,라이브플렉스,1
게임,위메이드,1
게임,플레이위드,1
게임,네오위즈,1
게임,손오공,1

온라인,드래곤플라이,1
온라인,바른손이앤에이,1
온라인,엠게임,1
온라인,조이맥스,1
온라인,이스트소프트,1
온라인,넥슨지티,1
온라인,이에스에이,1
온라인,와이디온라인,1
온라인,웹젠,1
온라인,엔씨소프트,1
온라인,조이시티,1
온라인,한빛소프트,1
온라인,라이브플렉스,1
온라인,위메이드,1
온라인,플레이위드,1
온라인,네오위즈,1
온라인,손오공,1

강관,세아제강지주,1
강관,동양철관,1
강관,휴스틸,1
강관,금강공업,1
강관,하이스틸,1
강관,코센,1


전지,파워로직스,0.5
전지,이랜텍,0.5
전지,피앤이솔루션,0.5
전지,상신이디피,0.5
전지,코스모화학,0.5
전지,엘앤에프,0.5
전지,한화케미칼,0.5
전지,후성,0.5
전지,솔브레인,0.5
전지,이엔에프테크놀로지,0.5
전지,코스모신소재,0.5
전지,롯데정밀화학,0.5
전지,애경유화,0.5
전지,GS,0.5
전지,리켐,0.5


2차전지,파워로직스,1
2차전지,이랜텍,1
2차전지,피앤이솔루션,1
2차전지,상신이디피,1
2차전지,코스모화학,1
2차전지,엘앤에프,1
2차전지,한화케미칼,1
2차전지,후성,1
2차전지,솔브레인,1
2차전지,이엔에프테크놀로지,1
2차전지,코스모신소재,1
2차전지,롯데정밀화학,1
2차전지,애경유화,1
2차전지,GS,1
2차전지,리켐,1

양극화물질,파워로직스,1
양극화물질,이랜텍,1
양극화물질,피앤이솔루션,1
양극화물질,상신이디피,1
양극화물질,코스모화학,1
양극화물질,엘앤에프,1
양극화물질,한화케미칼,1
양극화물질,후성,1
양극화물질,솔브레인,1
양극화물질,이엔에프테크놀로지,1
양극화물질,코스모신소재,1
양극화물질,롯데정밀화학,1
양극화물질,애경유화,1
양극화물질,GS,1
